,color_entropy
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10185.jpg,23.404106
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10182.jpg,23.016638
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10188.jpg,19.453466
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10183.jpg,22.931389
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10187.jpg,22.979376
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10192.jpg,20.491993
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10197.jpg,18.491385
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10189.jpg,22.93578
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10200.jpg,12.927816
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10199.jpg,23.505579
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10204.jpg,23.106096
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10202.jpg,22.699167
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10214.jpg,21.55901
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10221.jpg,22.493565
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10225.jpg,19.055668
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10224.jpg,21.339878
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10222.jpg,23.31773
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10198.jpg,21.838919
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10228.jpg,20.235882
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10227.jpg,18.936834
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10229.jpg,22.361212
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10232.jpg,21.69105
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10235.jpg,23.763319
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10233.jpg,21.970755
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10236.jpg,22.895868
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10238.jpg,20.69961
