,image,prediction
136,/Users/thomaslim/data/image_201509_onlyrefugee/6979.jpg,1.6933613
137,/Users/thomaslim/data/image_201509_onlyrefugee/9492.jpg,-11.50869
138,/Users/thomaslim/data/image_201509_onlyrefugee/8954.jpg,10.6411
139,/Users/thomaslim/data/image_201509_onlyrefugee/214.jpg,-7.309371
140,/Users/thomaslim/data/image_201509_onlyrefugee/1780.jpg,7.558409
141,/Users/thomaslim/data/image_201509_onlyrefugee/10916.jpg,5.8559422
142,/Users/thomaslim/data/image_201509_onlyrefugee/6951.jpg,-6.791925
143,/Users/thomaslim/data/image_201509_onlyrefugee/572.jpg,-1.4553504
144,/Users/thomaslim/data/image_201509_onlyrefugee/5294.jpg,-2.696219
145,/Users/thomaslim/data/image_201509_onlyrefugee/10902.jpg,0.2438497
146,/Users/thomaslim/data/image_201509_onlyrefugee/1794.jpg,-1.503185
147,/Users/thomaslim/data/image_201509_onlyrefugee/200.jpg,-0.122514844
148,/Users/thomaslim/data/image_201509_onlyrefugee/8559.jpg,-2.838038
149,/Users/thomaslim/data/image_201509_onlyrefugee/9647.jpg,0.29828689
150,/Users/thomaslim/data/image_201509_onlyrefugee/10255.jpg,-3.9103456
151,/Users/thomaslim/data/image_201509_onlyrefugee/10533.jpg,3.6147897
152,/Users/thomaslim/data/image_201509_onlyrefugee/2074.jpg,1.3618214
153,/Users/thomaslim/data/image_201509_onlyrefugee/9135.jpg,1.1165974
154,/Users/thomaslim/data/image_201509_onlyrefugee/6206.jpg,-2.5971336
155,/Users/thomaslim/data/image_201509_onlyrefugee/1569.jpg,2.758505
156,/Users/thomaslim/data/image_201509_onlyrefugee/10527.jpg,-6.388618
157,/Users/thomaslim/data/image_201509_onlyrefugee/2060.jpg,-1.4850595
158,/Users/thomaslim/data/image_201509_onlyrefugee/10241.jpg,4.2079506
159,/Users/thomaslim/data/image_201509_onlyrefugee/2706.jpg,5.954738
160,/Users/thomaslim/data/image_201509_onlyrefugee/3418.jpg,-3.5942843
161,/Users/thomaslim/data/image_201509_onlyrefugee/4377.jpg,-6.096399
162,/Users/thomaslim/data/image_201509_onlyrefugee/6560.jpg,0.69482917
163,/Users/thomaslim/data/image_201509_onlyrefugee/3430.jpg,-1.8897741
164,/Users/thomaslim/data/image_201509_onlyrefugee/8565.jpg,-1.9606545
