,CS,ECS,FS,LS,MS
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10126.jpg,0.002307144,0.00560989,0.074390896,0.00037907605,0.917313
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10130.jpg,0.0002943526,9.4038e-05,0.19437133,0.80482394,0.00041633646
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10132.jpg,0.9996049,0.00028637747,1.4007121e-05,9.160749e-06,8.5606465e-05
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10131.jpg,0.0061178124,0.0029190485,0.003264266,0.0006940903,0.9870048
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10145.jpg,0.998304,0.0012544396,4.1312596e-05,2.9727817e-05,0.00037047826
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10146.jpg,2.871505e-06,4.557869e-06,0.8600373,2.5254634e-05,0.13993
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10140.jpg,2.4265366e-05,0.00021349521,0.006399105,7.550951e-06,0.9933555
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10155.jpg,0.025252614,0.9741368,0.0003054986,0.00018252232,0.00012254306
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10152.jpg,0.9344661,0.00079911476,0.0009270176,0.0004269076,0.06338083
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10154.jpg,0.076268375,0.14180559,0.48409042,0.11862286,0.17921276
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10161.jpg,0.9370075,0.017156638,0.0005592054,0.00047368914,0.04480305
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10162.jpg,0.06855406,0.043942615,0.4483699,0.39460784,0.044525553
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10160.jpg,0.0036066982,0.01258336,0.39052036,0.0050966195,0.5881929
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10167.jpg,0.010568752,0.28853244,0.5583183,0.11129103,0.031289436
